Category,Sms
trust,nipigie saa
scam,naomba unitumie iyo hela namba airtel jina peter nyange
scam,freemason utimize ndoto biashara kilimo ufugaji machi mbo michezo n k kwamhitaji kujiunga pg au
trust,watoto wanapenda zawadi ulizowaletea
scam,iyo pesa itume namba jina italeta magomba maila nimeazima simu wakala hapa laini natatizo upande kupokea pesa asante
scam,iyo pesa itume humu airtel jina lije oliva matias
trust,nashukuru kupokea simu tutalifanyia kazi tatizo hili kurudi kwetu haraka
scam,xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by juma sikareko grp member
trust,nimemaliza kufanya mazoezi ninaenda kupumzika
scam,habari ewe mtanzania mlango umefunguliwa jiunge namatajiri kutoa kafala binadam utapewa mtaji ongea wakala wetu
scam,xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by ramatungu grp member
scam,we need urgently need staff salary tzs reach hr team at me
scam,jina litakuja salome kalunga nitumie vodacom
scam,friimason timiza ndoto kumiliki pesa majumba magari kifahari kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,utanitumia hîi tigo j ina juma sikareko
scam,congratulations your cv has passed you can get tzs in a day for details me
scam,tuzo point hongera umepata zawadi sh milioni tuzo point piga sim kupata zawadi asante
trust,nitapita ofisini kwako saa nane mchana
scam,xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by peter nyange grp member
trust,nimetuma pesa namba uliyonipa
scam,xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by salome kalunga grp member
scam,nitumie voda jina jumanne yasini masaka
scam,hela tuma namba jina linusi malalo
scam,utanitumia hîi tigo j ina abdallah mwanaku
trust,dah umesikia kuhusu drama aunt ezekiel mashabiki insta live
scam,tigo cqgz imethibitishwa namba yako imeshinda tsh million tuzo pointi ilikupokea hela yako piga asante
scam,au iyo ela nitumie m pesa jina litoke
scam,samahani naomba itume tigo abdallah mwanaku
